NUMBER,NAME,DESKV,TYPE,INSTALL_DATE,FEET,MILES,OPCO,EAS_NUM,STATUS,OWNER,OBJECTID
134A,Longwood - Southwest Shreveport,345 kV,Line,1971/12/31,101241,19.174,Southwestern Electric Power (LA),TLN194:0134A,In service,AEP - SEP non-TX,290622
135A,Longwood - Wilkes (LA),345 kV,Line,1967/12/31,15391,2.915,Southwestern Electric Power (LA),TLN194:0135A,In service,AEP - SEP non-TX,305870
149A,Flint Creek - Switch Station (GRDA) (AR),345 kV,Line,1983/12/31,15156,2.870,Southwestern Electric Power (AR),TLN194:0149A,In service,AEP - SEP non-TX,299118
151A,Hosston - Bloomburg (AR),69 kV,Line,1900/01/01,45602,8.637,Southwestern Electric Power (AR),TLN194:0151A,In service,AEP - SEP non-TX,305694
151B,International Paper Tap (AR),69 kV,Tap,1969/12/31,283,0.054,Southwestern Electric Power (TX,TLN194:0151B,In service,AEP - SEP TX,300830
151D,Texas Eastern Tap (TX),69 kV,Tap,1949/12/31,9793,1.855,Southwestern Electric Power (TX,TLN194:0151D,In service,AEP - SEP TX,300846
151D,Texas Eastern Tap (AR),69 kV,Tap,1949/12/31,2707,0.513,Southwestern Electric Power (AR),TLN194:0151D,In service,AEP - SEP non-TX,306238
152A,DeQueen - Nashville,69 kV,Line,1949/12/31,143526,27.183,Southwestern Electric Power (AR),TLN194:0152A,In service,AEP - SEP non-TX,298270
152B,Murfreesboro Uptown Tap,69 kV,Line,1960/12/31,4159,0.788,Southwestern Electric Power (AR),TLN194:0152B,In service,AEP - SEP non-TX,290686
152C,Murfreesboro West - Narrows Dam (SWPA),69 kV,Line,1949/12/31,35395,6.704,Southwestern Electric Power (AR),TLN194:0152C,In service,AEP - SEP non-TX,298190
152D,Murfreesboro West - Nashville,69 kV,Line,1949/12/31,63257,11.981,Southwestern Electric Power (AR),TLN194:0152D,In service,AEP - SEP non-TX,298158
154B,Dyess - Springdale North,69 kV,Line,1959/12/31,29287,5.547,Southwestern Electric Power (AR),TLN194:0154B,In service,AEP - SEP non-TX,299630
